Cluster size,frequency,foTM
1,0.6003039513677811,0.21066666666666667
2,0.10087386018237082,0.0708
3,0.10714285714285714,0.11280000000000001
4,0.048062310030395135,0.06746666666666667
5,0.03229483282674772,0.056666666666666664
6,0.02526595744680851,0.053200000000000004
7,0.01614741641337386,0.03966666666666667
8,0.009878419452887538,0.027733333333333336
9,0.009498480243161094,0.03
10,0.0055091185410334345,0.019333333333333334
11,0.005889057750759878,0.022733333333333335
12,0.005319148936170213,0.0224
13,0.003609422492401216,0.016466666666666664
14,0.0028495440729483282,0.014
15,0.0026595744680851063,0.014
16,0.001899696048632219,0.010666666666666668
17,0.003419452887537994,0.0204
18,0.001519756838905775,0.0096
19,0.001519756838905775,0.010133333333333333
20,0.001519756838905775,0.010666666666666666
21,0.001709726443768997,0.0126
22,0.0011398176291793312,0.0088
23,0.0009498480243161094,0.007666666666666667
24,0.0007598784194528875,0.0064
25,0.0013297872340425532,0.011666666666666667
26,0.00037993920972644377,0.0034666666666666665
27,0.0011398176291793312,0.0108
28,0.00018996960486322188,0.0018666666666666666
29,0.0011398176291793312,0.0116
30,0.00037993920972644377,0.004
31,0.0005699088145896656,0.006200000000000001
32,0.0005699088145896656,0.0064
33,0.00018996960486322188,0.0022
34,0.00018996960486322188,0.002266666666666667
35,0.0005699088145896656,0.007000000000000001
38,0.00037993920972644377,0.005066666666666666
39,0.0005699088145896656,0.0078
41,0.00018996960486322188,0.0027333333333333333
42,0.0005699088145896656,0.0084
43,0.00018996960486322188,0.0028666666666666667
46,0.00037993920972644377,0.0061333333333333335
48,0.00037993920972644377,0.0064
49,0.00037993920972644377,0.006533333333333334
50,0.00018996960486322188,0.0033333333333333335
61,0.00018996960486322188,0.004066666666666666
65,0.00018996960486322188,0.004333333333333333
