# Time_ms	Mean_A	 Mean_B	 Stdev_A	 Stdev_B
0.0000e+00 9.0000e+01 1.2000e+02 0.0000e+00 0.0000e+00
1.0000e+00 1.6160e+01 2.3160e+01 3.1072e+00 4.4423e+00
2.0000e+00 1.2640e+01 1.8840e+01 2.9917e+00 4.1345e+00
3.0000e+00 1.2280e+01 1.6120e+01 2.7058e+00 3.6146e+00
4.0000e+00 1.1680e+01 1.5440e+01 2.7088e+00 4.2809e+00
5.0000e+00 1.1760e+01 1.5960e+01 3.5245e+00 5.1496e+00
6.0000e+00 1.1720e+01 1.4240e+01 2.8358e+00 2.6875e+00
7.0000e+00 1.1440e+01 1.5120e+01 2.7141e+00 3.7557e+00
8.0000e+00 1.0440e+01 1.3720e+01 3.0735e+00 4.2850e+00
9.0000e+00 1.1200e+01 1.4920e+01 3.3226e+00 3.8670e+00
1.0000e+01 1.1080e+01 1.3800e+01 2.6821e+00 3.6661e+00
1.1000e+01 1.0320e+01 1.3520e+01 2.7817e+00 3.1384e+00
1.2000e+01 1.0480e+01 1.4200e+01 2.6701e+00 2.5923e+00
1.3000e+01 9.8000e+00 1.3800e+01 2.3152e+00 3.0463e+00
1.4000e+01 1.0320e+01 1.3680e+01 2.6791e+00 3.3193e+00
1.5000e+01 1.0240e+01 1.4000e+01 2.8465e+00 2.4658e+00
1.6000e+01 1.0760e+01 1.3960e+01 2.9971e+00 3.4232e+00
1.7000e+01 1.0320e+01 1.4400e+01 2.8944e+00 3.3106e+00
1.8000e+01 1.1040e+01 1.3920e+01 3.0395e+00 3.1231e+00
1.9000e+01 1.0840e+01 1.3920e+01 2.3269e+00 2.7118e+00
2.0000e+01 1.0520e+01 1.3840e+01 2.6095e+00 3.6407e+00
2.1000e+01 1.0720e+01 1.4200e+01 2.1264e+00 3.4525e+00
2.2000e+01 9.8400e+00 1.3000e+01 2.7522e+00 4.2521e+00
2.3000e+01 1.0080e+01 1.4640e+01 2.9109e+00 3.0578e+00
2.4000e+01 1.0640e+01 1.3360e+01 2.6364e+00 2.9783e+00
2.5000e+01 1.1000e+01 1.4920e+01 3.0332e+00 3.8254e+00
2.6000e+01 1.0520e+01 1.3600e+01 2.6248e+00 3.1875e+00
2.7000e+01 1.1920e+01 1.4560e+01 2.7118e+00 3.0474e+00
2.8000e+01 1.0840e+01 1.3360e+01 2.9622e+00 3.5200e+00
2.9000e+01 1.1520e+01 1.3600e+01 3.0347e+00 3.4641e+00
3.0000e+01 9.9200e+00 1.4800e+01 2.6218e+00 3.3941e+00
3.1000e+01 9.8000e+00 1.4720e+01 2.7423e+00 2.9600e+00
3.2000e+01 9.8800e+00 1.4400e+01 2.6279e+00 2.5456e+00
3.3000e+01 1.0800e+01 1.5160e+01 2.5456e+00 3.0289e+00
3.4000e+01 1.0120e+01 1.4760e+01 2.5662e+00 3.5920e+00
3.5000e+01 1.0640e+01 1.4160e+01 2.6364e+00 2.8097e+00
3.6000e+01 1.0320e+01 1.3960e+01 2.9627e+00 2.9595e+00
3.7000e+01 1.0120e+01 1.4800e+01 2.5662e+00 2.5298e+00
3.8000e+01 1.0520e+01 1.4200e+01 2.3172e+00 3.9799e+00
3.9000e+01 1.0480e+01 1.4320e+01 3.0479e+00 3.5408e+00
4.0000e+01 1.1200e+01 1.4640e+01 2.6981e+00 3.3091e+00
4.1000e+01 1.0040e+01 1.3360e+01 2.7638e+00 2.8966e+00
4.2000e+01 1.1080e+01 1.4440e+01 3.1231e+00 3.4880e+00
4.3000e+01 1.1160e+01 1.5360e+01 2.8521e+00 2.7840e+00
4.4000e+01 9.7600e+00 1.4480e+01 2.6575e+00 3.9711e+00
4.5000e+01 1.0600e+01 1.4320e+01 2.4000e+00 2.8666e+00
4.6000e+01 1.1520e+01 1.4360e+01 3.0870e+00 3.9485e+00
4.7000e+01 1.1000e+01 1.4840e+01 3.5777e+00 3.2580e+00
4.8000e+01 1.1200e+01 1.4640e+01 2.8983e+00 3.0447e+00
4.9000e+01 1.1120e+01 1.4520e+01 2.1784e+00 4.2532e+00
5.0000e+01 1.0600e+01 1.3800e+01 2.6230e+00 2.5612e+00
