# Time_ms	Mean_A	 Mean_B	 Stdev_A	 Stdev_B
0.0000e+00 1.5000e+01 1.5000e+01 0.0000e+00 0.0000e+00
1.0000e+00 1.0840e+01 1.1000e+01 1.8693e+00 1.7664e+00
2.0000e+00 8.8800e+00 8.9600e+00 2.3034e+00 1.9694e+00
3.0000e+00 9.0000e+00 8.8000e+00 1.8111e+00 1.7436e+00
4.0000e+00 8.2400e+00 7.8800e+00 1.8391e+00 2.0262e+00
5.0000e+00 8.4800e+00 8.1200e+00 1.5263e+00 1.8400e+00
6.0000e+00 8.5200e+00 7.8000e+00 1.4455e+00 1.6000e+00
7.0000e+00 8.3600e+00 7.6400e+00 1.2924e+00 1.7862e+00
8.0000e+00 7.3200e+00 6.6800e+00 1.7139e+00 1.6666e+00
9.0000e+00 7.4800e+00 6.7200e+00 1.5263e+00 1.6376e+00
1.0000e+01 7.0000e+00 6.6400e+00 1.6492e+00 1.7177e+00
1.1000e+01 7.1200e+00 6.9600e+00 1.8181e+00 1.7083e+00
1.2000e+01 6.7600e+00 6.6800e+00 1.4500e+00 1.3482e+00
1.3000e+01 7.0400e+00 6.7200e+00 1.6608e+00 1.8443e+00
1.4000e+01 7.4800e+00 6.9200e+00 1.7233e+00 1.9374e+00
1.5000e+01 7.3600e+00 6.9600e+00 1.8736e+00 1.9075e+00
1.6000e+01 7.0400e+00 7.0000e+00 1.7545e+00 1.9799e+00
1.7000e+01 7.0000e+00 6.8800e+00 2.4166e+00 2.0846e+00
1.8000e+01 6.6800e+00 6.4400e+00 1.7139e+00 1.5253e+00
1.9000e+01 6.2400e+00 5.6800e+00 1.6070e+00 1.7139e+00
2.0000e+01 6.9200e+00 6.4800e+00 1.7186e+00 1.9415e+00
2.1000e+01 6.8800e+00 6.4400e+00 1.3659e+00 1.6512e+00
2.2000e+01 6.2400e+00 5.9600e+00 1.7036e+00 1.6120e+00
2.3000e+01 6.0400e+00 6.0800e+00 1.7545e+00 1.7871e+00
2.4000e+01 6.3200e+00 6.3600e+00 1.6666e+00 1.4935e+00
2.5000e+01 6.8400e+00 6.4400e+00 1.6657e+00 1.6512e+00
2.6000e+01 6.7200e+00 7.0400e+00 1.6376e+00 1.5869e+00
2.7000e+01 6.5600e+00 6.2000e+00 1.3291e+00 1.3565e+00
2.8000e+01 7.0400e+00 6.3200e+00 1.4555e+00 1.3775e+00
2.9000e+01 6.6800e+00 6.5600e+00 1.2875e+00 1.3588e+00
3.0000e+01 6.7600e+00 6.3600e+00 1.4500e+00 1.5200e+00
3.1000e+01 6.6800e+00 6.0000e+00 1.4063e+00 1.8974e+00
3.2000e+01 6.6800e+00 6.5600e+00 1.1906e+00 1.6752e+00
3.3000e+01 7.0800e+00 6.3600e+00 1.1973e+00 1.5461e+00
3.4000e+01 6.9600e+00 6.6400e+00 1.8864e+00 1.7177e+00
3.5000e+01 6.8800e+00 6.3600e+00 1.8400e+00 2.1518e+00
3.6000e+01 7.3600e+00 6.6800e+00 1.9976e+00 2.0537e+00
3.7000e+01 7.2800e+00 6.6800e+00 2.0498e+00 2.0731e+00
3.8000e+01 6.8400e+00 6.4400e+00 1.9734e+00 1.7682e+00
3.9000e+01 6.6800e+00 6.1600e+00 1.6424e+00 1.5667e+00
4.0000e+01 6.8000e+00 6.3200e+00 1.7664e+00 1.6666e+00
4.1000e+01 7.4400e+00 7.0000e+00 1.5768e+00 1.7436e+00
4.2000e+01 6.6000e+00 6.4400e+00 1.8547e+00 1.9407e+00
4.3000e+01 6.6000e+00 6.3200e+00 1.5748e+00 1.7139e+00
4.4000e+01 6.9200e+00 6.1200e+00 1.6473e+00 1.7736e+00
4.5000e+01 6.8000e+00 5.9600e+00 2.2450e+00 2.0490e+00
4.6000e+01 7.3200e+00 6.3200e+00 1.5419e+00 1.6179e+00
4.7000e+01 6.7600e+00 6.3200e+00 1.6317e+00 1.4621e+00
4.8000e+01 6.7200e+00 5.9600e+00 1.3717e+00 1.5615e+00
4.9000e+01 6.4000e+00 6.2000e+00 1.4422e+00 1.3856e+00
5.0000e+01 6.8800e+00 6.4000e+00 1.5315e+00 1.3565e+00
