Cluster size,frequency,foTM
1,0.5032747328507411,0.24333333333333332
2,0.27094105480868663,0.262
3,0.10272319889693209,0.149
4,0.050327473285074115,0.09733333333333333
5,0.026542571527059633,0.06416666666666668
6,0.01585660117200965,0.046
7,0.009996552912788694,0.03383333333333333
8,0.006549465701482247,0.025333333333333333
9,0.002412961047914512,0.0105
10,0.003791795932437091,0.018333333333333333
11,0.002068252326783868,0.011
12,0.0013788348845225785,0.008
13,0.0003447087211306446,0.0021666666666666666
14,0.001034126163391934,0.007000000000000001
15,0.0006894174422612892,0.005
16,0.0006894174422612892,0.005333333333333333
17,0.0006894174422612892,0.005666666666666667
18,0.0006894174422612892,0.006
